gene_id	expo_rep1	expo_rep2	stat_rep1	stat_rep2
TK1580	2503	362	1207	334
TK1581	1504	206	813	197
TK1582	178	27	688	276
TK1583	191	13	835	127
TK1584	17	3	132	28
TK1585	8	2	68	7
TK1586	32	4	52	15
TK1587	26	1	137	20
TK1588	36	3	219	39
TK1589	151	21	482	114
TK1590	184	262	309	802
TK1591	136	122	216	437
TK1592	25301	1822	7167	1080
TK1593	3907	768	2467	662
TK1594	16297	3244	12732	2008
TK1595	7827	1339	6211	663
TK1596	2424	428	1465	390
TK1597	41236	7114	19557	5777
TK1598	12664	1901	7242	1084
TK1599	11396	1927	5906	1170
TK1600	14605	2362	7613	1474
TK1601	3110	555	1634	269
TK1602	34750	5964	23007	3418
TK1603	33137	6277	27421	3096
TK1604	19941	3844	16269	1517
TK1605	1141	204	773	159
TK1606	759	166	612	134
TK1607	1439	246	1315	220
TK1608	886	136	1019	142
TK1609	946	138	1135	162
TK1610	340	99	590	83
TK1611	2871	532	3509	469
TK1612	1111	84	6829	1146
TK1613	432	43	3045	972
TK1614	74	10	582	282
TK1615	438	82	592	114
TK1616	866	256	824	203
TK1617	1407	473	1396	292
TK1618	1466	433	1422	487
TK1619	2537	289	1454	294
TK1620	28497	3341	13653	1874
TK1621	7128	1602	4811	850
TK1622	27384	5584	20756	4576
TK1623	3116	677	2423	358
TK1624	5828	1335	5557	787
TK1625	15699	3426	14326	1778
TK1626	23684	5902	19922	3605
TK1627	3499	857	2712	692
TK1628	253	62	103	34
TK1629	966	120	475	204
TK1630	12711	2207	6924	1483
TK1631	9377	2063	6006	1157
TK1632	944	357	720	136
TK1633	14937	3030	13531	1378
TK1634	11304	2333	9902	1284
TK1635	6163	1321	5987	926
TK1636	8739	1613	7502	1074
TK1637	22104	4606	18913	3225
TK1638	471	58	370	68
TK1639	626	106	363	69
TK1640	3902	981	3741	611
TK1641	2404	632	2717	398
TK1642	556	94	753	150
TK1643	15575	2968	14706	2828
TK1644	1197	115	795	197
TK1645	815	76	577	92
TK1646	3476	338	2180	376
TK1647	85	6	117	8
TK1648	877	196	1150	270
TK1649	1062	216	1018	175
TK1650	1656	350	1935	410
TK1651	1634	434	1493	322
TK1652	652	161	585	144
TK1653	384	76	1370	269
TK1654	47	22	30	16
TK1655	695	309	354	127
TK1656	3976	758	1863	265
TK1657	4679	770	3158	448
TK1658	3927	924	3369	427
TK1659	1488	323	997	197
TK1660	20	8	224	57
TK1661	2886	347	3095	275
TK1662	3657	468	4248	363
TK1663	4045	504	4630	511
TK1664	4094	538	4786	732
TK1665	1432	303	1767	364
TK1666	1682	264	2020	439
TK1667	2354	336	2632	488
TK1668	1787	318	1908	179
TK1669	4739	893	5285	680
TK1670	9475	1544	9464	1640
TK1671	5456	1152	4078	1058
TK1672	85	42	90	36
TK1673	514	87	349	100
TK1674	919	106	897	142
TK1675	732	168	226	154
TK1676	4811	1229	4247	1065
TK1677	354	110	415	130
TK1678	276	49	1048	507
TK1679	309	98	1897	599
TK1680	122	49	922	292
TK1681	484	79	459	130
TK1682	4903	496	3658	775
TK1683	4982	777	2617	347
TK1684	3172	925	11836	1592
TK1685	625	190	2766	546
TK1686	2938	492	2326	421
TK1687	4278	1804	3574	1089
TK1688	9735	3048	11309	2431
TK1689	3942	608	1317	407
TK1690	5564	1261	2870	534
TK1691	9190	3263	5055	1833
TK1692	1133	243	734	294
